time,total_cab_power
0.0,692.875
60.0,1729.914
120.0,1749.701
180.0,2210.584
240.0,2528.575
300.0,0
360.0,2421.383
420.0,612.673
480.0,0
540.0,0
600.0,0
660.0,784.166
720.0,1828.811
780.0,0
840.0,0
900.0,0
960.0,0
1020.0,0
1080.0,0
1140.0,23.335
1200.0,0
1260.0,0
1320.0,0
1380.0,50.109
1440.0,0
1500.0,0
1560.0,1518.609
1620.0,0
1680.0,0
1740.0,0
1800.0,0
1860.0,1283.671
1920.0,0
1980.0,0
2040.0,426.413
2100.0,387.178
2160.0,2309.135
2220.0,2295.093
2280.0,0
2340.0,2312.548
2400.0,639.419
2460.0,0
2520.0,1117.446
2580.0,0
2640.0,0
2700.0,0
2760.0,1302.496
2820.0,186.873
2880.0,0
2940.0,758.875
3000.0,2175.159
3060.0,1501.172
3120.0,0
3180.0,0
3240.0,0
3300.0,629.924
3360.0,0
3420.0,146.001
3480.0,0
3540.0,1153.34
3600.0,0
3660.0,1547.922
3720.0,0
3780.0,0
3840.0,0
3900.0,1290.066
3960.0,1959.43
4020.0,0
4080.0,112.173
4140.0,2162.258
4200.0,0
4260.0,306.85
4320.0,0
4380.0,0
4440.0,0
4500.0,0
4560.0,2007.518
4620.0,0
4680.0,451.785
4740.0,0
4800.0,0
4860.0,0
4920.0,0
4980.0,0
5040.0,2249.908
5100.0,170.69
5160.0,1850.681
5220.0,0
5280.0,1119.256
5340.0,2330.27
5400.0,1327.406
5460.0,2549.379
5520.0,1038.567
5580.0,0
5640.0,0
5700.0,2217.134
5760.0,2522.188
5820.0,0
5880.0,0
5940.0,0
6000.0,0
6060.0,0
6120.0,52.891
6180.0,0
6240.0,0
6300.0,1161.617
6360.0,0
6420.0,0
6480.0,0
6540.0,0
6600.0,246.8
6660.0,1571.477
6720.0,0
6780.0,0
6840.0,0
6900.0,1252.274
6960.0,0
7020.0,0
7080.0,2.74
7140.0,2393.759
7200.0,0
7260.0,1499.954
7320.0,0
7380.0,977.117
7440.0,0
7500.0,0
7560.0,0
7620.0,0
7680.0,1460.156
7740.0,0
7800.0,1713.474
7860.0,0
7920.0,0
7980.0,0
8040.0,1883.706
8100.0,0
8160.0,0
8220.0,0
8280.0,0
8340.0,0
8400.0,0
8460.0,0
8520.0,0
8580.0,2035.038
8640.0,0
8700.0,830.345
8760.0,0
8820.0,2036.618
8880.0,0
8940.0,0
9000.0,0
9060.0,0
9120.0,0
9180.0,1756.786
9240.0,0
9300.0,0
9360.0,0
9420.0,0
9480.0,1910.772
9540.0,84.389
9600.0,0
9660.0,0
9720.0,0
9780.0,1980.588
9840.0,0
9900.0,0
9960.0,1631.148
10020.0,434.211
10080.0,0
10140.0,0
10200.0,0
10260.0,0
10320.0,2219.996
10380.0,0
10440.0,0
10500.0,0
10560.0,0
10620.0,609.143
10680.0,0
10740.0,1201.336
10800.0,0
10860.0,0
10920.0,2007.764
10980.0,0
11040.0,0
11100.0,1072.539
11160.0,2075.551
11220.0,0
11280.0,502.766
11340.0,0
11400.0,0
11460.0,0
11520.0,0
11580.0,2192.235
11640.0,1276.505
11700.0,563.651
11760.0,0
11820.0,1164.325
11880.0,0
11940.0,394.468
12000.0,0
12060.0,746.589
12120.0,0
12180.0,446.718
12240.0,1033.367
12300.0,0
12360.0,0
12420.0,1780.494
12480.0,0
12540.0,879.894
12600.0,0
12660.0,0
12720.0,0
12780.0,0
12840.0,0
12900.0,853.985
12960.0,2265.723
13020.0,1651.26
13080.0,0
13140.0,2657.364
13200.0,0
13260.0,0
13320.0,1513.007
13380.0,2282.64
13440.0,1037.021
13500.0,0
13560.0,0
13620.0,0
13680.0,1135.932
13740.0,0
13800.0,2283.356
13860.0,0
13920.0,0
13980.0,2243.928
14040.0,393.71
14100.0,1514.276
14160.0,2006.355
14220.0,0
14280.0,446.546
14340.0,0
14400.0,0
14460.0,0
14520.0,0
14580.0,0
14640.0,0
14700.0,0
14760.0,1117.626
14820.0,2048.956
14880.0,0
14940.0,0
15000.0,784.284
15060.0,1497.427
15120.0,0
15180.0,2574.958
15240.0,0
15300.0,208.263
15360.0,201.966
15420.0,2570.717
15480.0,0
15540.0,2375.929
15600.0,0
15660.0,0
15720.0,0
15780.0,0
15840.0,1293.077
15900.0,0
15960.0,0
16020.0,1077.745
16080.0,0
16140.0,1984.678
16200.0,0
16260.0,0
16320.0,508.666
16380.0,0
16440.0,0
16500.0,0
16560.0,0
16620.0,902.524
16680.0,0
16740.0,2435.971
16800.0,0
16860.0,0
16920.0,2655.758
16980.0,48.632
17040.0,1783.573
17100.0,0
17160.0,0
17220.0,1932.527
17280.0,0
17340.0,0
17400.0,360.905
17460.0,0
17520.0,1876.899
17580.0,2264.047
17640.0,0
17700.0,1074.949
17760.0,0
17820.0,0
17880.0,1340.646
17940.0,2344.213
18000.0,0
18060.0,0
18120.0,1810.388
18180.0,0
18240.0,0
18300.0,0
18360.0,1584.283
18420.0,0
18480.0,0
18540.0,0
18600.0,0
18660.0,0
18720.0,1819.645
18780.0,1165.472
18840.0,0
18900.0,0
18960.0,0
19020.0,846.759
19080.0,0
19140.0,0
19200.0,1724.927
19260.0,0
19320.0,0
19380.0,0
19440.0,0
19500.0,1655.377
19560.0,0
19620.0,2203.382
19680.0,1062.556
19740.0,0
19800.0,2664.073
19860.0,0
19920.0,0
19980.0,0
20040.0,0
20100.0,2533.567
20160.0,0
20220.0,2577.672
20280.0,0
