Time (sec),Air Temp (F),Water Supply Temp (F),Water Return Temp (F),Water Flowrate (gpm)
0.0,75.38,67.951,80.966,4251.19
60.0,75.373,67.779,81.103,4243.694
120.0,75.393,68.154,81.572,4244.917
180.0,75.371,68.115,80.913,4254.035
240.0,75.38,67.832,81.073,4256.649
300.0,75.383,68.011,80.487,4244.08
360.0,75.37,67.814,81.16,4243.652
420.0,75.34,68.144,80.486,4243.949
480.0,75.4,67.98,81.087,4249.424
540.0,75.333,67.782,80.812,4254.213
600.0,75.383,67.898,81.013,4259.4
660.0,75.4,67.993,81.389,4243.986
720.0,75.372,67.806,81.002,4251.572
780.0,75.363,68.113,80.667,4253.472
840.0,75.362,68.137,80.63,4258.125
900.0,75.382,68.135,80.855,4241.649
960.0,75.36,67.972,81.567,4248.435
1020.0,75.359,67.77,80.619,4258.975
1080.0,75.351,68.023,80.609,4246.7
1140.0,75.363,68.083,81.326,4245.344
1200.0,75.342,68.16,80.614,4241.89
1260.0,75.339,67.977,81.399,4253.901
1320.0,75.367,67.799,80.722,4261.593
1380.0,75.34,67.924,80.804,4242.152
1440.0,75.328,67.99,81.163,4246.607
1500.0,75.333,68.134,80.598,4254.165
1560.0,75.325,67.954,80.851,4255.78
1620.0,75.359,67.776,81.231,4254.069
1680.0,75.394,67.888,81.377,4256.2
1740.0,75.401,67.856,81.123,4260.116
1800.0,75.33,68.076,81.397,4241.593
1860.0,75.376,68.144,80.801,4244.158
1920.0,75.364,67.912,81.076,4258.635
1980.0,75.326,67.959,80.65,4247.061
2040.0,75.349,67.875,81.287,4261.01
2100.0,75.378,67.801,80.721,4243.04
2160.0,75.389,68.116,81.426,4246.964
2220.0,75.37,68.06,81.573,4260.261
2280.0,75.372,68.004,80.99,4242.718
2340.0,75.395,68.189,81.4,4244.656
2400.0,75.357,68.089,80.704,4246.797
2460.0,75.343,67.918,80.494,4244.898
2520.0,75.349,67.781,81.196,4250.528
2580.0,75.374,67.781,80.946,4243.253
2640.0,75.388,67.762,81.139,4260.258
2700.0,75.352,67.833,80.547,4252.063
2760.0,75.341,67.852,80.543,4248.686
2820.0,75.35,68.116,81.127,4260.547
2880.0,75.36,67.917,80.489,4242.634
2940.0,75.326,67.93,80.713,4246.921
3000.0,75.352,67.875,80.468,4260.772
3060.0,75.372,68.02,81.36,4255.804
3120.0,75.353,67.914,81.319,4242.92
3180.0,75.325,67.831,81.127,4258.133
3240.0,75.362,68.007,80.555,4244.865
3300.0,75.342,68.119,80.697,4260.024
3360.0,75.349,68.081,80.78,4247.413
3420.0,75.35,67.762,81.063,4249.368
3480.0,75.398,68.082,81.104,4254.678
3540.0,75.372,68.162,81.308,4260.053
3600.0,75.362,68.057,80.686,4259.863
3660.0,75.392,67.823,81.212,4256.894
3720.0,75.399,67.804,80.922,4255.23
3780.0,75.369,68.092,81.573,4247.267
3840.0,75.34,67.964,80.477,4243.104
3900.0,75.345,68.116,80.497,4245.326
3960.0,75.36,68.171,80.981,4260.119
4020.0,75.375,68.104,81.356,4253.456
4080.0,75.35,67.927,80.958,4257.123
4140.0,75.4,67.915,81.244,4244.552
4200.0,75.387,67.882,80.795,4244.754
4260.0,75.382,68.019,81.221,4253.945
4320.0,75.324,68.133,81.362,4257.625
4380.0,75.357,68.139,80.728,4257.65
4440.0,75.329,68.193,80.483,4251.872
4500.0,75.348,67.98,81.528,4258.443
4560.0,75.361,67.911,80.756,4247.969
4620.0,75.334,67.905,81.516,4242.757
4680.0,75.337,68.06,80.564,4248.881
4740.0,75.325,67.935,81.332,4246.904
4800.0,75.324,67.966,81.239,4246.252
4860.0,75.384,68.175,80.806,4258.644
4920.0,75.335,68.044,81.348,4258.155
4980.0,75.323,67.792,81.226,4247.633
5040.0,75.366,68.05,80.898,4249.903
5100.0,75.352,68.144,81.048,4245.825
5160.0,75.385,68.145,81.486,4259.199
5220.0,75.331,67.772,80.688,4258.288
5280.0,75.34,67.878,80.56,4260.943
5340.0,75.33,68.022,81.528,4241.304
5400.0,75.347,67.915,81.19,4243.618
5460.0,75.326,67.885,81.002,4258.909
5520.0,75.336,68.161,81.088,4247.783
5580.0,75.35,67.809,80.641,4260.105
5640.0,75.366,67.906,81.371,4255.219
5700.0,75.35,67.958,80.991,4258.072
5760.0,75.402,68.14,80.566,4250.485
5820.0,75.35,68.009,81.261,4247.994
5880.0,75.372,67.821,80.556,4244.537
5940.0,75.389,67.954,81.44,4258.937
6000.0,75.361,68.007,81.372,4251.75
6060.0,75.34,67.907,81.441,4247.017
6120.0,75.363,68.075,81.539,4244.626
6180.0,75.392,68.187,81.517,4261.478
6240.0,75.345,68.079,81.453,4248.784
6300.0,75.338,67.865,80.8,4246.976
6360.0,75.376,67.995,81.205,4260.651
6420.0,75.334,68.008,80.694,4251.221
6480.0,75.354,67.901,80.977,4253.231
6540.0,75.366,67.884,81.096,4259.684
6600.0,75.345,68.019,80.708,4256.565
6660.0,75.365,68.135,81.192,4253.973
6720.0,75.39,67.861,80.716,4243.189
6780.0,75.376,68.149,80.786,4245.788
6840.0,75.328,67.898,80.806,4261.385
6900.0,75.394,67.989,81.304,4255.541
6960.0,75.342,67.904,80.643,4259.463
7020.0,75.34,67.98,80.827,4249.098
7080.0,75.37,68.036,81.11,4259.9
7140.0,75.371,68.173,80.604,4242.038
7200.0,75.401,67.999,81.098,4258.572
7260.0,75.329,67.913,81.018,4242.52
7320.0,75.393,68.019,81.338,4243.785
7380.0,75.392,67.882,81.19,4246.784
7440.0,75.364,68.147,80.793,4260.981
7500.0,75.353,68.157,81.448,4245.255
7560.0,75.336,67.95,80.983,4252.294
7620.0,75.327,67.77,80.627,4257.118
7680.0,75.375,68.127,81.095,4257.183
7740.0,75.342,67.883,81.099,4248.035
7800.0,75.36,68.192,81.316,4250.073
7860.0,75.336,67.91,80.944,4258.762
7920.0,75.363,67.811,80.987,4250.52
7980.0,75.325,67.9,81.31,4245.206
8040.0,75.342,67.795,81.57,4251.361
8100.0,75.33,68.053,80.796,4259.901
8160.0,75.379,67.867,80.929,4241.769
8220.0,75.339,68.062,80.639,4256.816
8280.0,75.34,67.882,81.062,4246.971
8340.0,75.331,67.783,80.692,4248.754
8400.0,75.374,67.853,80.761,4251.311
8460.0,75.396,68.024,81.308,4253.186
8520.0,75.394,67.77,80.726,4254.017
8580.0,75.389,68.081,80.77,4244.288
8640.0,75.39,68.106,80.761,4252.618
8700.0,75.326,67.784,80.917,4243.205
8760.0,75.373,68.123,81.211,4255.646
8820.0,75.4,67.917,81.23,4249.564
8880.0,75.363,67.939,81.086,4252.876
8940.0,75.365,68.087,81.086,4255.197
9000.0,75.326,68.108,80.649,4249.573
9060.0,75.384,68.023,80.529,4247.832
9120.0,75.327,67.858,80.797,4252.029
9180.0,75.347,67.839,80.596,4259.465
9240.0,75.379,67.776,80.914,4252.528
9300.0,75.365,68.159,81.263,4250.208
9360.0,75.363,67.995,81.381,4247.76
9420.0,75.369,67.83,81.542,4246.371
9480.0,75.385,67.93,80.711,4260.702
9540.0,75.372,67.844,81.252,4258.969
9600.0,75.325,67.766,81.26,4250.654
9660.0,75.33,68.043,81.477,4244.122
9720.0,75.358,67.773,80.584,4247.103
9780.0,75.364,67.962,80.954,4251.298
9840.0,75.371,68.112,81.162,4251.898
9900.0,75.341,68.039,80.64,4248.421
9960.0,75.393,67.836,81.114,4255.568
10020.0,75.369,68.062,80.941,4244.229
10080.0,75.344,68.064,80.723,4256.109
10140.0,75.399,68.194,80.9,4255.854
10200.0,75.328,67.85,80.834,4250.329
10260.0,75.367,68.085,81.501,4254.503
10320.0,75.365,68.172,80.62,4247.769
10380.0,75.355,68.159,81.24,4254.6
10440.0,75.331,67.821,80.741,4248.987
10500.0,75.372,67.881,81.291,4244.946
10560.0,75.385,68.041,80.612,4246.885
10620.0,75.376,67.782,81.142,4252.488
10680.0,75.356,68.015,81.275,4246.116
10740.0,75.386,68.14,80.608,4258.54
10800.0,75.363,68.029,81.408,4248.427
10860.0,75.355,67.927,81.058,4241.472
10920.0,75.353,67.842,80.777,4243.173
10980.0,75.351,67.906,81.562,4252.566
11040.0,75.343,67.944,81.29,4247.482
