Time (sec),Air Temp (F),Water Supply Temp (F),Water Return Temp (F),Water Flowrate (gpm)
0.0,75.3,68.7,81.72,4192.69
60.0,75.3,68.6,81.76,4210.22
120.0,75.3,68.6,81.72,4208.71
180.0,75.2,68.7,81.63,4212.22
240.0,75.2,69.0,81.64,4219.73
300.0,75.2,69.2,81.61,4210.88
360.0,75.2,69.1,81.67,4194.53
420.0,75.3,69.0,81.87,4194.03
480.0,75.3,69.0,81.98,4206.88
540.0,75.3,69.1,81.98,4193.69
600.0,75.3,69.4,81.99,4185.35
660.0,75.3,69.6,82.08,4191.86
720.0,75.3,69.7,82.32,4197.87
780.0,75.3,69.6,82.49,4233.41
840.0,75.4,69.4,82.48,4222.56
900.0,75.4,69.0,82.40,4209.21
960.0,75.4,68.9,82.21,4196.36
1020.0,75.3,68.9,81.97,4183.51
1080.0,75.3,68.9,81.86,4205.21
1140.0,75.3,68.9,81.95,4208.55
1200.0,75.3,68.9,82.18,4198.37
1260.0,75.3,69.0,82.26,4195.70
1320.0,75.3,69.1,82.29,4213.05
1380.0,75.3,69.1,82.36,4192.02
1440.0,75.3,69.1,82.39,4217.22
1500.0,75.3,69.1,82.28,4214.72
1560.0,75.3,69.0,82.23,4197.03
1620.0,75.3,69.0,82.16,4220.56
1680.0,75.3,69.0,82.13,4243.26
1740.0,75.3,69.1,82.08,4232.41
1800.0,75.3,69.1,82.13,4216.22
1860.0,75.3,69.1,82.14,4195.70
1920.0,75.3,69.1,81.95,4205.04
1980.0,75.3,69.1,81.89,4179.84
2040.0,75.3,69.0,81.84,4204.54
2100.0,75.3,69.0,81.79,4191.52
2160.0,75.3,69.0,81.74,4194.69
2220.0,75.3,69.0,81.63,4201.04
2280.0,75.2,69.0,81.51,4191.02
2340.0,75.2,68.9,81.47,4208.55
2400.0,75.2,68.9,81.48,4210.55
2460.0,75.2,68.9,81.46,4204.04
2520.0,75.2,69.0,81.48,4178.17
2580.0,75.2,69.1,81.51,4222.40
2640.0,75.2,69.4,81.59,4201.70
2700.0,75.3,69.6,81.72,4199.70
2760.0,75.3,69.6,81.81,4216.89
2820.0,75.3,69.4,81.93,4177.17
2880.0,75.3,69.2,81.97,4235.58
2940.0,75.3,68.9,81.81,4207.88
3000.0,75.3,68.8,81.62,4231.58
3060.0,75.3,68.8,81.45,4234.75
3120.0,75.3,68.8,81.29,4198.53
3180.0,75.3,68.9,81.26,4197.03
3240.0,75.3,69.1,81.25,4200.87
3300.0,75.3,69.4,81.32,4226.90
3360.0,75.3,69.3,81.48,4216.22
3420.0,75.3,69.0,81.64,4223.40
3480.0,75.3,68.9,81.69,4238.75
3540.0,75.3,68.9,81.60,4190.69
3600.0,75.3,68.8,81.47,4195.03
3660.0,75.3,68.8,81.35,4225.74
3720.0,75.2,68.8,81.29,4223.57
3780.0,75.2,68.8,81.31,4183.85
3840.0,75.2,69.0,81.29,4203.87
3900.0,75.2,69.4,81.29,4227.74
3960.0,75.2,69.5,81.40,4193.03
4020.0,75.3,69.5,81.56,4220.73
4080.0,75.3,69.4,81.71,4186.52
4140.0,75.3,69.4,81.81,4219.23
4200.0,75.3,69.2,81.77,4199.37
4260.0,75.3,68.8,81.76,4195.03
4320.0,75.3,68.6,81.62,4211.38
4380.0,75.3,68.7,81.45,4197.53
4440.0,75.3,69.0,81.38,4190.19
4500.0,75.3,69.3,81.41,4200.70
4560.0,75.3,69.5,81.56,4223.07
4620.0,75.3,69.4,81.73,4194.53
4680.0,75.3,69.3,81.95,4203.04
4740.0,75.3,68.9,82.15,4199.87
4800.0,75.3,68.8,82.06,4217.39
4860.0,75.3,68.7,81.97,4198.37
4920.0,75.3,68.8,81.89,4188.85
4980.0,75.3,68.9,81.83,4184.52
5040.0,75.2,69.0,81.78,4231.91
5100.0,75.2,69.3,81.82,4208.05
5160.0,75.2,69.5,81.93,4214.05
5220.0,75.3,69.5,82.05,4223.07
5280.0,75.3,69.4,82.14,4229.07
5340.0,75.3,69.4,82.20,4219.56
5400.0,75.3,69.1,82.11,4184.85
5460.0,75.3,68.8,81.88,4222.90
5520.0,75.3,68.7,81.79,4218.06
5580.0,75.3,68.7,81.63,4197.87
5640.0,75.3,68.8,81.52,4183.51
5700.0,75.2,68.9,81.49,4185.52
5760.0,75.2,68.9,81.42,4221.06
5820.0,75.2,68.9,81.21,4216.56
5880.0,75.2,69.0,81.17,4191.19
5940.0,75.2,69.3,81.18,4196.20
6000.0,75.3,69.5,81.30,4171.50
6060.0,75.3,69.5,81.64,4200.20
6120.0,75.3,69.4,81.90,4192.86
6180.0,75.3,69.0,82.04,4207.88
6240.0,75.3,68.7,82.02,4195.86
6300.0,75.3,68.8,81.97,4212.39
6360.0,75.3,69.0,81.97,4199.53
6420.0,75.3,69.4,82.12,4219.73
6480.0,75.3,69.6,82.41,4189.85
6540.0,75.3,69.6,82.64,4210.38
6600.0,75.3,69.5,82.64,4237.58
6660.0,75.3,69.4,82.57,4216.56
6720.0,75.3,69.3,82.40,4190.69
6780.0,75.3,69.3,82.36,4209.72
6840.0,75.3,69.0,82.32,4206.04
6900.0,75.3,68.8,82.21,4207.21
6960.0,75.3,68.8,81.98,4203.54
7020.0,75.3,68.8,81.84,4214.55
7080.0,75.3,68.8,81.76,4228.41
7140.0,75.2,68.8,81.77,4206.21
7200.0,75.2,68.8,81.85,4220.06
7260.0,75.2,68.8,82.01,4192.53
7320.0,75.2,68.6,81.87,4178.01
7380.0,75.2,68.5,81.86,4194.69
7440.0,75.2,68.5,81.84,4171.16
7500.0,75.1,68.7,81.87,4163.49
7560.0,75.1,69.0,81.89,4200.54
7620.0,75.1,69.1,82.02,4210.72
7680.0,75.2,69.4,82.10,4169.16
7740.0,75.2,69.7,82.15,4197.53
7800.0,75.2,69.8,82.28,4186.02
7860.0,75.3,70.0,82.48,4204.88
7920.0,75.3,69.8,82.63,4210.05
