time,total_cab_power
0.0,11647.660738999999
60.0,12093.019581
120.0,12258.660769999999
180.0,11852.32148
240.0,11851.660815
300.0,12178.717754
360.0,11627.449234
420.0,12213.679935
480.0,12150.132827
540.0,11998.69926
600.0,12028.812032
660.0,12159.34
720.0,12203.944118
780.0,11966.68006
840.0,11906.429979
900.0,12200.052477
960.0,24695.571536
1020.0,12202.836894
1080.0,11930.180001
1140.0,12129.314632
1200.0,11998.405533
1260.0,11867.283747
1320.0,12163.047354999999
1380.0,12135.295366999999
1440.0,11862.4
1500.0,11484.503534
1560.0,11846.415863
1620.0,12096.910823
1680.0,11879.583791000001
1740.0,11971.026182
1800.0,12249.091812
1860.0,12180.256903
1920.0,11137.415868
1980.0,12204.814573
2040.0,11944.32152
2100.0,11673.057376
2160.0,12164.830971
2220.0,11972.987728
2280.0,11945.872329
2340.0,11712.038474
2400.0,11722.180017
2460.0,12033.141572999999
2520.0,12276.256922999999
2580.0,12160.333912
2640.0,11732.73764
2700.0,12234.396972
2760.0,12135.853015
2820.0,12011.396956999999
2880.0,11711.833832
2940.0,11915.02615
3000.0,12235.906401
3060.0,12396.583893
3120.0,11867.076218
3180.0,12197.292244
3240.0,11698.151689
3300.0,11864.526152999999
3360.0,12226.132822
3420.0,12095.737627
3480.0,12245.449249
3540.0,11869.868687
3600.0,11881.547951999999
3660.0,12160.396972
3720.0,11902.111392
3780.0,11639.66114
3840.0,12241.718432
3900.0,11497.353093
3960.0,11915.229051
4020.0,12286.199222000001
4080.0,11434.111332
4140.0,12037.013354
4200.0,12104.122271
4260.0,12328.309596
4320.0,12330.962982
4380.0,12262.057391
4440.0,12286.405451
4500.0,12294.227156
4560.0,12209.622264
4620.0,11860.160749
4680.0,12024.888348
4740.0,12105.891516
4800.0,11732.895675
4860.0,11526.778022
4920.0,12171.180037
4980.0,11868.237668
5040.0,12173.113903
5100.0,11736.256917
5160.0,12127.122309
5220.0,12229.968497
5280.0,11992.965709
5340.0,11669.045372999999
5400.0,12304.583852
5460.0,12348.526144
5520.0,12404.113965
5580.0,12291.122319
5640.0,11756.833848
5700.0,11662.113957
5760.0,12477.22719
5820.0,12116.333822999999
5880.0,12181.199231
5940.0,12302.604514999999
6000.0,12097.179970000001
6060.0,12161.189803
6120.0,12229.92
6180.0,12113.987712
6240.0,12114.585642
6300.0,11967.81206
6360.0,12122.25687
6420.0,12228.457771
6480.0,11932.468431
6540.0,12327.510219
6600.0,11610.151661
6660.0,11976.910805
6720.0,12260.895693
6780.0,12329.915332
6840.0,11724.449154
6900.0,12236.872323
6960.0,11961.064593
7020.0,12626.464308999999
7080.0,11834.000786
7140.0,12188.944206
7200.0,11903.256921
7260.0,11894.641532
7320.0,12226.545422
7380.0,12516.256929
7440.0,11928.083841
7500.0,12539.680033999999
7560.0,12467.057344
7620.0,12225.246046
7680.0,12594.981886
7740.0,12352.170555
7800.0,11973.425159999999
7860.0,12495.9442
7920.0,12566.333853
7980.0,12136.229009
8040.0,12041.372303
8100.0,12226.321475
8160.0,12266.353106
8220.0,12325.993713
8280.0,12085.246055
8340.0,12243.237693
8400.0,12436.378105
8460.0,12377.302656
8520.0,12238.151676
8580.0,11920.58387
8640.0,12081.954459
8700.0,12618.295363
8760.0,12517.699264
8820.0,13746.962996
8880.0,11927.14155
8940.0,11993.103049
9000.0,12112.415831999999
9060.0,12284.276159
9120.0,12266.755450999999
9180.0,12239.302597
9240.0,12307.981951
9300.0,11921.429957
9360.0,11508.660768
9420.0,12187.217069
9480.0,12441.179984
9540.0,12339.849812
9600.0,12378.321537
9660.0,11972.314643
9720.0,11797.057254
9780.0,24477.77178
9840.0,12377.487693
9900.0,12278.738852999999
9960.0,12178.346695
10020.0,11822.1
10080.0,12244.000731
10140.0,12175.122277999999
10200.0,12266.64156
10260.0,12244.949233
10320.0,12323.719181
10380.0,12021.26832
10440.0,11841.287821
10500.0,11820.661106
10560.0,12203.064643
10620.0,12269.295392
10680.0,12272.968465
10740.0,11972.925272
10800.0,12322.830967
10860.0,11666.122287
10920.0,12130.836861
10980.0,12251.993731999999
11040.0,11889.264908
11100.0,12221.189422
11160.0,12557.20832
11220.0,12287.797659
11280.0,12272.506899
11340.0,11950.755417
11400.0,11907.564591
11460.0,12118.340398
11520.0,11804.43467
11580.0,11941.774379999999
11640.0,11973.968428
11700.0,12167.547919999999
11760.0,11922.169797
11820.0,12077.968461999999
11880.0,12295.944162
11940.0,11698.641553
12000.0,11969.366306
12060.0,12275.25694
12120.0,12082.41586
12180.0,12022.218499999999
12240.0,12002.218421
12300.0,12255.585673
12360.0,12144.793181
12420.0,12361.15058
12480.0,11981.906404
12540.0,12326.251463999999
12600.0,12274.603143
12660.0,23330.516882
12720.0,12202.853052999999
12780.0,12020.895663
12840.0,12332.981946
12900.0,12138.830895
12960.0,12301.235531
13020.0,11876.006875
13080.0,11338.122308
13140.0,11310.987664
13200.0,11765.981871
13260.0,11893.547904
13320.0,12177.083858
13380.0,12327.31463
13440.0,12290.89158
13500.0,11894.73771
13560.0,11754.264889
13620.0,11611.891509
13680.0,11882.019627
13740.0,11440.698866
13800.0,10503.604499
13860.0,9906.276139
13920.0,9669.218442
13980.0,9612.113921
14040.0,9586.449238
14100.0,9602.68
14160.0,9584.46846
14220.0,9600.62232
14280.0,9600.963025
14340.0,9592.699252
14400.0,9580.891523
14460.0,9582.237693
14520.0,9589.378089
14580.0,9592.772598
14640.0,9590.346663
14700.0,9585.396974
14760.0,9581.132816
14820.0,9579.057332
14880.0,9576.526145
14940.0,9568.531865
15000.0,9566.189434
15060.0,9565.963018999999
15120.0,9569.25692
15180.0,9564.566771
15240.0,9565.93001
15300.0,9564.434718
15360.0,9570.962988
15420.0,9577.199244
15480.0,9579.434721
15540.0,9583.679986000001
15600.0,9586.906406
15660.0,9579.846719000001
15720.0,9577.526153
15780.0,9585.103072
15840.0,9574.091753
15900.0,9576.925267
15960.0,9577.510166
16020.0,9578.472456
16080.0,9576.006922999999
16140.0,9574.699239
16200.0,9571.468463
16260.0,9564.981898
16320.0,9565.256925
16380.0,9566.415851
16440.0,9569.472447
16500.0,9571.719192
16560.0,9575.774322
16620.0,9579.038478
16680.0,19171.16768
16740.0,9587.276159000001
16800.0,9584.891534999999
16860.0,9578.60307
16920.0,9578.415869
16980.0,9577.981874
17040.0,10462.08384
17100.0,9866.189433
17160.0,9701.968444
17220.0,10547.566773999999
17280.0,9780.39697
17340.0,9714.924901999999
17400.0,9714.279999999999
17460.0,9936.491337
17520.0,10591.491345
17580.0,9771.58384
17640.0,10038.755482
17700.0,10035.353067
17760.0,9715.564601
17820.0,9878.415853999999
17880.0,10495.981873
17940.0,9814.510184
18000.0,10161.698841
18060.0,9715.372308999998
18120.0,9743.276146
18180.0,9975.151703
18240.0,10251.397009
18300.0,9898.333067
18360.0,9747.88
18420.0,10367.302638
18480.0,9747.506917
18540.0,11005.42076
18600.0,12870.737711
18660.0,12125.939246
18720.0,11845.623435
18780.0,12195.161544
18840.0,11436.756894
18900.0,12052.151685
18960.0,11827.8875
19020.0,11916.968458
19080.0,11705.718456
19140.0,11772.987701
19200.0,11291.03297
19260.0,11859.346673
19320.0,11963.774325999999
19380.0,12147.795342
19440.0,11974.830954000001
19500.0,12050.603094
19560.0,12047.604478
19620.0,12110.372231
19680.0,11554.795379000001
19740.0,12064.698879
19800.0,12022.198503
19860.0,12047.76
19920.0,12030.031891
19980.0,12116.415829
20040.0,12235.856469
20100.0,11305.531869
20160.0,9899.36
20220.0,9594.13279
20280.0,9590.698855999999
20340.0,9748.264868
20400.0,11937.872314
20460.0,14969.755422
20520.0,15183.346716
20580.0,15194.718452
